title,imdbRating,imdbVotes,tomatometer
Christmas Crossfire,4.8,"1,411",N/A
Cold Feet,8.2,"4,473",N/A
Colonia,7.0,"53,903",29%
Copilot,6.3,266,73%
Coral Reef,6.8,580,91%
Crocodiles – The Private Life of Primeaval Reptiles,N/A,N/A,N/A
Cuba’s Long Shadow of Remembrance,N/A,16,N/A
Da Geht Noch Was,6.2,"1,287",N/A
Dampfnudelblues,6.9,"2,397",N/A
Dark Side of Light,N/A,N/A,N/A
Das freiwillige Jahr,N/A,N/A,N/A
Das geheime Leben der Bäume,N/A,N/A,N/A
Das Kind,8.1,13,N/A
Das Leben danach,6.1,207,N/A
Day Zero - A City Without Water,N/A,N/A,N/A
Dear Future children,8.6,"3,847",N/A
Delphinsommer,7.0,282,N/A
Denk ich an Deutschland in der Nacht,6.6,11,N/A
Der Goldene Handschuh,N/A,N/A,N/A
Der König von Köln,7.1,189,N/A
Der letzte Lude,5.6,"1,388",N/A
Destination White House – Battles for the Presidency,N/A,N/A,N/A
Dialogue Earth,N/A,N/A,N/A
Die Porsche 911 Story,N/A,N/A,N/A
Dieses bescheuerte Herz,N/A,N/A,N/A
Dinosaurier – Gegen uns seht ihr alt aus!,N/A,N/A,N/A
Dolphins,7.2,515,89%
Dornröschen erwacht,6.2,170,N/A
Dream Factory,6.4,144,N/A
Dresden,6.6,"2,585",N/A
Earth,7.9,"14,556",86%
Ein Mord mit Aussicht,6.4,633,N/A
Elser,6.4,279,N/A
Elsewhere. Alone in Africa,N/A,N/A,N/A
Encounter in Space,6.2,8,N/A
Endless Horizon,5.0,5,N/A
Erich Kästner: Das andere Ich,6.8,23,N/A
Evolution,6.1,"129,681",43%
Expedition Happiness (German Version),N/A,N/A,N/A
Expedition Wallacea – The Cradle of Marine Life,N/A,N/A,N/A
Fack ju Göhte 2,N/A,N/A,N/A
Fack ju Göhte 3,N/A,N/A,N/A
Familiye,6.4,670,N/A
Flight of the Monarch Butterfly,6.2,12,N/A
#Alive,6.3,"39,415",N/A
10 Cloverfield Lane,7.2,"327,250",90%
122,6.0,"5,614",N/A
28 Days Haunted,N/A,N/A,N/A
A Drop of Blood,N/A,N/A,N/A
A Haunting at the Rectory,3.0,835,N/A
A Nightmare on Elm Street,7.4,"240,085",95%
A Series of Unfortunate Events,6.8,"209,677",72%
A Tale Dark & Grimm,7.3,"1,435",N/A
All of Us Are Dead,7.5,"48,384",N/A
American Psycho,7.6,"607,445",68%
Ammar,4.0,617,N/A
Andhaghaaram,7.6,"3,786",N/A
Andhakaaram,N/A,N/A,N/A
Animas,N/A,N/A,N/A
Anna and the Apocalypse,6.0,"13,356",77%
Annabelle,5.4,"160,096",28%
Annabelle: Creation,6.5,"135,082",70%
Annihilation,6.8,"324,756",88%
Apostle,6.3,"53,052",79%
Aranyak,7.8,"9,360",N/A
Archive 81,7.3,"49,091",N/A
Ares,5.7,"4,462",N/A
Ash vs. Evil Dead,8.1,17,N/A
Aurora,6.6,"1,963",77%
Bad Guys,7.8,"1,625",N/A
"Belascoarán, PI",N/A,N/A,N/A
Betaal,5.4,"9,139",N/A
Better Watch Out,6.5,"38,737",89%
Beyond Evil,8.1,"3,424",N/A
Bhool Bhulaiyaa 2,5.7,"30,186",71%
Bitter Daisies,N/A,N/A,N/A
Black Butterflies,6.1,"2,189",69%
Antebellum,5.7,"27,001",30%
Bloodbath At The House Of Death,5.0,"2,102",N/A
Blue Blood,4.7,"1,279",N/A
Bone Tomahawk,7.1,"102,371",91%
Boomika,5.5,"2,580",N/A
Boomika (Hindi),N/A,N/A,N/A
Boomika (Malayalam),N/A,N/A,N/A
Boomika (Telugu),N/A,N/A,N/A
Brightburn,6.1,"98,375",57%
Cadaver,5.2,"10,275",33%
Call TV,5.6,122,N/A
Cam,5.9,"32,271",93%
Case 39,6.2,"87,423",21%
Child's Play,6.6,"103,384",71%
Choose or Die,4.8,"20,306",30%
Clinical,5.1,"8,254",N/A
Cloverfield,7.0,"399,586",78%
Conjuring the Dead,N/A,N/A,N/A
Countdown,5.4,"38,645",27%
Cradle of Fear,4.3,"3,286",N/A
Creep,6.3,"56,059",90%
Ana by Day,5.4,469,N/A
ANIMA,7.6,"11,788",100%
Animal,4.6,"7,045",43%
Ankahi Kahaniya,5.5,901,55%
Anklaget,N/A,N/A,N/A
Apocalypse Please!,3.3,21,N/A
Arberia,6.8,96,N/A
Attention Please,8.3,"1,378",N/A
Austenland,6.3,"21,421",32%
Ave Maria,6.5,"1,219",N/A
4th Republic,6.1,49,N/A
45 rpm,7.2,522,N/A
Afrobeats: The Backstory,N/A,6,N/A
All For Love,7.0,199,N/A
An Evening With Matt Monro,8.8,5,N/A
An Irish Story: This Is My Home,7.5,54,N/A
Angel,7.9,"70,663",N/A
Angèle,7.0,553,N/A
Anitta: Made In Honório,6.9,417,N/A
ARASHI's Diary -Voyage-,8.0,45,N/A
"ariana grande: excuse me, i love you",6.3,"2,662",57%
Asinamali,7.0,10,N/A
Autumn Girl,5.5,625,N/A
Ayinla,8.3,33,N/A
Barbra: The Music ... The Mem'ries ... The Magic!,7.5,471,N/A
"Basically, Johnny Moped",7.4,124,N/A
Beats,6.4,"5,362",98%
Been So Long,5.5,"1,119",92%
Belgian Rhapsody,N/A,N/A,N/A
Ben Platt Live from Radio City Music Hall,8.3,511,N/A
Bibi & Tina: Girls Versus Boys,N/A,N/A,N/A
Bibi & Tina: Tohuwabohu Total,N/A,N/A,N/A
Bigflo & Oli: Hip Hop Frenzy,6.9,128,N/A
Biggie: I Got a Story to Tell,6.8,"5,146",78%
Blackjack,4.8,"4,212",N/A
BLACKPINK: Light Up the Sky,7.3,"6,667",88%
A Very Special Love,6.5,397,N/A
A World Without,3.9,372,N/A
Aerials,1.5,400,N/A
ARQ,6.3,"39,544",43%
Awake,6.5,"76,128",23%
Back to Q82,N/A,109,N/A
Bigbug,N/A,N/A,N/A
Blasted,4.8,"2,001",N/A
Captain Nova,5.5,"1,574",N/A
Circle,6.0,"57,185",57%
Deep,4.2,"1,569",33%
Deep Blue Sea,5.9,"134,662",60%
District 9,7.9,"680,515",90%
Eggnoid: Love & Time Portal,6.2,89,N/A
Extinction,5.8,"53,347",32%
Freaks,7.8,"46,673",95%
Freaks – You're One of Us,5.4,"6,161",0%
Heroes of the Empire,8.5,26,N/A
Holiday on Mars,N/A,N/A,N/A
How I Became a Superhero,N/A,N/A,N/A
How It Ends,5.0,"53,555",17%
I Am Mother,6.7,"91,381",91%
iBOY,5.9,"23,225",69%
Illang: The Wolf Brigade,5.9,"5,234",20%
In the Shadow of the Moon,6.2,"53,291",95%
In Vitro,6.9,102,N/A
IO,4.7,"34,542",33%
Iron Sky,5.9,"94,335",41%
Iron Sky: The Coming Race,5.0,"10,630",29%
Jupiter Ascending,5.3,"188,897",28%
Kenny Begins,5.8,"1,889",N/A
Krótka histeria czasu,4.5,70,N/A
Life,6.6,"230,972",67%
Lucid Dream,6.1,"3,753",N/A
Lucy,6.4,"493,634",66%
Mad Dogs,7.5,"8,538",N/A
Mirage,7.4,"56,084",N/A
Mother/Android,4.9,"18,659",32%
Mute,5.4,"35,663",21%
Audible,6.7,"2,405",100%
Awon Boyz,N/A,6,N/A
Aya,7.2,905,N/A
Besieged Bread,N/A,42,N/A
Birders,6.4,288,N/A
Bonboné,7.2,297,N/A
Camp Confidential: America's Secret Nazis,6.6,884,100%
Children of Shatila,8.1,85,N/A
Condom Lead,7.5,77,N/A
Cops and Robbers,6.3,806,N/A
End Game,5.1,"5,455",N/A
Exploring The Snow - The Final Volume,N/A,N/A,N/A
Extremis,7.3,"2,434",N/A
F**k the Past,N/A,N/A,N/A
Facing Mecca,7.4,166,N/A
Fanatyk,6.6,849,N/A
Fishing for Bluefin Tuna,N/A,N/A,N/A
Five Elements of Adventure,N/A,N/A,N/A
Forgive Us Our Trespasses,6.4,"1,571",N/A
Francesco,6.3,"1,551",N/A
"Frankenstein’s Monster’s Monster, Frankenstein",5.8,"2,228",88%
Ghosts of Sugar Land,5.5,"1,394",100%
Hangout,5.9,736,N/A
Heart Shot,4.8,703,N/A
Heroin(e),6.8,"2,861",100%
Hizia,N/A,24,N/A
Hogwood: A Modern Horror Story,8.3,10,N/A
Hold Your Breath: The Ice Dive,6.5,622,N/A
If Anything Happens I Love You,7.8,"16,644",100%
Isoken,6.5,332,N/A
La Montagne des Cristalliers,N/A,N/A,N/A
Ladies First,7.1,503,N/A
Lead Me Home,6.3,"3,667",100%
Lessons from a School Shooting: Notes from Dunblane,N/A,N/A,N/A
Life Overtakes Me,6.5,"1,956",100%
Like Twenty Impossibles,7.2,118,N/A
Little Matters: Insects,N/A,N/A,N/A
Little Miss Sumo,6.6,514,N/A
Long Shot,6.8,"111,590",81%
Longboarding LA to NY,N/A,13,N/A
"Lorena, Light-Footed Woman",7.0,809,N/A
Ma Rainey's Black Bottom: A Legacy Brought to Screen,N/A,N/A,N/A
Making The Billion Dollar Code,N/A,N/A,N/A
Making The Witcher,6.8,463,N/A
Maradona's Legs,7.9,369,N/A
Marked,3.3,133,N/A
"My Friend Janne ""Loffe"" Carlsson",N/A,N/A,N/A
My Heroes Were Cowboys,6.6,286,N/A
Nausicaa,7.2,127,N/A
New Saudi Voices,N/A,N/A,N/A
Ocean Therapy,N/A,N/A,N/A
On The Path,8.6,7,N/A
On the Trails of Glaciers: Mission to Caucasus,N/A,N/A,N/A
On the Trails of Glaciers: Mission to Alaska,N/A,N/A,N/A
One Day of Football: Against All Odds,N/A,N/A,N/A
One Like It,N/A,N/A,N/A
"Out of Many, One",5.8,259,N/A
Pearl Islands,N/A,N/A,N/A
Period. End of Sentence.,7.4,"6,094",75%
Poacher,6.6,83,N/A
"Ram Dass, Going Home",7.0,"1,042",N/A
Resurface,6.9,456,N/A
Revamp,6.7,7,N/A
Rooting for Roona,7.1,430,N/A
Sedna,N/A,N/A,N/A
Shaka Inkosi YamaKhosi,N/A,8,N/A
Sisterhood,6.6,482,N/A
Sitara: Let Girls Dream,7.2,671,N/A
Six Windows in the Desert,4.3,"3,142",N/A
Something Between,N/A,8,N/A
Sun of the Soil,N/A,27,N/A
T'es pas bien là?,N/A,N/A,N/A
Takuya,8.3,6,N/A
The Boys in the Band: Something Personal,7.2,372,N/A
The Claudia Kishi Club,6.9,141,N/A
The Crossing,7.1,"9,788",N/A
The Dreamlife of Georgie Stone,N/A,176,N/A
All She Wrote,5.3,683,N/A
All the Freckles in the World,5.2,"1,317",N/A
Anelka: Misunderstood,6.4,"3,244",N/A
Antoine Griezmann: The Making of a Legend,6.5,"1,192",N/A
Aux pieds de la gloire,5.8,17,N/A
Azzurri - Road to Wembley,N/A,849,N/A
Baggio: The Divine Ponytail,6.1,"4,539",60%
Bayonet,5.6,573,80%
Bear Island,5.8,"2,456",N/A
Behind the Tide,N/A,N/A,N/A
Beyond: An African Surf Documentary,7.7,56,N/A
Bikes vs Cars,7.1,713,60%
Blades of Glory,6.3,"169,644",70%
Blood Brothers: Malcolm X & Muhammad Ali,6.9,"1,005",94%
Bloomfield,3.8,104,N/A
Brilliant corners - Barbados,N/A,N/A,N/A
Brilliant Corners - Hainan,N/A,N/A,N/A
Brilliant Corners - Haiti,N/A,N/A,N/A
Brilliant Corners - Jamaica,N/A,N/A,N/A
Brilliant Corners - Liberia,N/A,N/A,N/A
Brilliant Corners: Ghana,N/A,N/A,N/A
Brilliant Corners: Oman,N/A,N/A,N/A
Brilliant Corners: Sierra Leone,N/A,N/A,N/A
Bruised,6.2,"14,721",49%
Caught by a Wave,5.8,"1,331",N/A
Chasing the Line,6.5,239,N/A
Chlorine,5.2,478,8%
Counterpunch,6.7,925,N/A
Death of a Gentleman,7.2,584,67%
Dejame Vivir,8.1,145,N/A
Drop It!,N/A,N/A,N/A
El límite infinito,8.6,20,N/A
Encordades,N/A,N/A,N/A
Epic Waves,N/A,N/A,N/A
Escape The Undertaker,4.2,958,N/A
Exploring The Snow - The Journey,N/A,N/A,N/A
Fan of Amoory,5.0,42,N/A
Farewells,N/A,N/A,N/A
Fast & Feel Love,6.9,861,N/A
Fighting with My Family,7.1,"81,595",93%
First Match,6.4,"2,318",85%
Flying Pigs,5.7,883,N/A
Full Out,6.3,"2,819",N/A
Full Out 2: You Got This!,4.6,538,N/A
Generation Iron 3,6.2,"3,204",N/A
Gipsy Queen,6.6,713,N/A
Girls With Balls,3.9,"3,347",42%
Going for Gold,4.8,579,N/A
Good Game: The Beginning,4.5,"2,025",N/A
Goon: Last of the Enforcers,5.8,"13,872",41%
Guillermo Vilas: Settling the Score,N/A,N/A,N/A
Guys and Balls,6.6,"1,889",36%
Hanging by a Thread,5.9,83,N/A
Hector,6.9,"2,002",N/A
Hell of '63,N/A,N/A,N/A
Hellegat,6.3,116,N/A
Here Comes the Boom,6.4,"91,822",42%
High Flying Bird,6.2,"8,712",91%
Hitting the Apex,8.2,"3,882",N/A
Holy Goalie,5.3,"1,690",N/A
Home Games,7.4,37,N/A
Home Team,6.0,"18,607",19%
Amit Tandon: Family Tandoncies,7.2,262,N/A
Amy Schumer Growing,5.4,"3,966",79%
Amy Schumer Presents: Parental Advisory,N/A,N/A,N/A
Amy Schumer: The Leather Special,3.2,"10,028",50%
Anjelah Johnson: Not Fancy,5.7,712,N/A
Anthony Jeselnik: Fire in the Maternity Ward,7.2,"3,698",80%
Anthony Jeselnik: Thoughts and Prayers,7.7,"5,375",100%
Ari Eldjárn: Pardon My Icelandic,7.8,"1,610",N/A
Ari Shaffir: Double Negative,6.8,735,N/A
Arsenio Hall: Smart & Classy,N/A,N/A,N/A
ATZE - Revolution,N/A,N/A,N/A
Atze Schröder - Schmerzfrei,N/A,N/A,N/A
Atze Schröder - Turbo,N/A,N/A,N/A
Atze Schröder Live - Richtig Fremdgehen,N/A,N/A,N/A
Aziz Ansari Live at Madison Square Garden,N/A,N/A,N/A
Aziz Ansari: Buried Alive,7.2,"4,027",100%
Aziz Ansari: Nightclub Comedian,7.0,"2,320",80%
Aziz Ansari: RIGHT NOW,7.5,"5,218",84%
Bert Kreischer: Hey Big Boy,7.0,"2,011",N/A
Bert Kreischer: Secret Time,7.3,"2,388",N/A
Best of Stand-Up 2020,5.5,655,N/A
Bill Burr Presents: Friends Who Kill,4.6,"2,278",N/A
Bill Burr: I'm Sorry You Feel That Way,8.2,"8,338",100%
Bill Burr: Live at Red Rocks,7.6,"4,989",67%
Bill Burr: Paper Tiger,8.1,"11,442",86%
Bill Burr: Walk Your Way Out,7.2,"7,536",N/A
Bo Burnham: Inside,N/A,N/A,N/A
Bo Burnham: Make Happy,8.3,"15,271",100%
Bo Burnham: The Inside Outtakes,N/A,N/A,N/A
Bo Burnham: what.,8.3,"12,073",N/A
Bodo Wartke - Noah war ein Archetyp – Live im Schmidts Tivoli in Hamburg,N/A,N/A,N/A
Brad Paisley's Comedy Rodeo,5.7,158,N/A
Brian Regan: Nunchucks and Flamethrowers,6.3,685,N/A
Brian Regan: On the Rocks,6.9,637,N/A
Bruna Louise: Demolition,4.7,79,N/A
Bülent Ceylan - Halb getürkt,N/A,N/A,N/A
Bülent Ceylan – Döner Chat Shit,N/A,N/A,N/A
A Place in the Stars,6.2,20,N/A
A Sort of Family,6.3,723,N/A
Aapla Manus,7.0,981,N/A
Andreaskorset,N/A,N/A,N/A
Apan,N/A,N/A,N/A
Av: The Hunt,5.4,549,100%
Berlin Syndrome,6.2,"25,511",76%
Blind Revenge,5.4,904,13%
Blood Money,4.5,"2,348",50%
"Blue, Painful, Fragile",N/A,N/A,N/A
Bordertown: Mural Murders,N/A,N/A,N/A
Brazen,4.1,"12,217",14%
Bundy and the Green River Killer,3.4,"1,130",N/A
Calibre,6.8,"29,720",95%
CBI 5: The Brain,N/A,N/A,N/A
Class of '83,5.8,"5,682",17%
Code Name: Emperor,N/A,N/A,N/A
Collision,5.9,"3,245",N/A
Containment,7.1,"10,951",N/A
Corridor,6.8,140,N/A
Dangerous Lies,5.3,"17,296",24%
Darlings,6.6,"16,771",75%
Dead Kids,5.4,592,17%
Deadly Illusions,3.7,"12,237",N/A
Deus Ex Machina,7.8,24,N/A
Dhamaka,7.1,"40,808",36%
Dongalunnaru Jagratha,N/A,N/A,N/A
Drishyam,8.2,"81,654",80%
Driven Wild,N/A,N/A,N/A
Earth and Blood,5.2,"2,646",0%
East of Sweden,N/A,N/A,N/A
Easy Skanking,5.7,"1,175",N/A
Ek Villain Returns,4.6,"13,818",N/A
El Camino: A Breaking Bad Movie,7.3,"247,578",92%
End of the Road,4.7,"6,383",33%
Enough,5.7,"43,994",22%
Eye For An Eye,6.1,"16,866",N/A
Eyes Shut,7.2,9,N/A
False As Water,6.1,657,N/A
Fatal Affair,4.6,"6,120",18%
Ferry,7.0,"11,093",N/A
Fever Dream,5.4,"2,025",67%
