title,imdbRating,imdbVotes,tomatometer
GODZILLA Planet of the Monsters,6.0,"8,674",71%
GODZILLA The Planet Eater,5.0,"4,270",60%
Howl’s Moving Castle,8.2,"392,933",87%
Kiki’s Delivery Service,7.8,"144,875",N/A
Kuroko's Basketball: Last Game,7.7,"2,650",N/A
Mobile Suit Gundam Hathaway,6.6,"1,505",N/A
Mobile Suit Gundam I,7.1,"1,848",N/A
Mobile Suit Gundam II: Soldiers of Sorrow,7.2,"1,318",N/A
Mobile Suit Gundam III: Encounters in Space,7.7,"1,279",N/A
Mobile Suit Gundam: Char's Counterattack,7.3,"1,751",N/A
Modest Heroes: Ponoc Short Films Theatre,N/A,N/A,N/A
Monster Hunter: Legends of the Guild,5.1,"1,327",N/A
My Neighbor Totoro,8.1,"337,571",95%
My Neighbors the Yamadas,7.1,"14,361",78%
Nausicaä of the Valley of the Wind,8.0,"169,468",89%
New Gods: Nezha Reborn,N/A,N/A,N/A
Nightmare of the Wolf Bestiary,N/A,N/A,N/A
NiNoKuni,6.1,"3,483",N/A
Ocean Waves,6.6,"17,454",89%
Only Yesterday,7.6,"32,710",100%
Persona 3 the Movie: #1 Spring of Birth,6.7,704,N/A
Persona 3 the Movie: #2 Midsummer Knight's Dream,6.8,486,N/A
Persona 3 The Movie: #4 Winter of Rebirth,7.2,380,N/A
Persona3 The Movie - #3 Falling Down –,N/A,N/A,N/A
Pokémon the Movie: Secrets of the Jungle,6.4,"2,035",N/A
13TH,8.2,"35,704",97%
3,7.1,"845,522",79%
3 Idiots,8.4,"398,641",100%
7 Prisoners,7.1,"7,407",98%
A Bigger Splash,6.4,"30,489",89%
A Coffee in Berlin,7.3,"16,644",77%
A Cop Movie,7.0,"1,841",93%
A Hologram for the King,6.1,"44,990",70%
A Land Imagined,6.2,"1,328",75%
A Lion in the House,8.7,328,100%
A Man Returned,7.3,75,N/A
A Real Life,5.9,311,N/A
A Star Is Born,7.6,"382,343",90%
A Sun,7.6,"8,356",95%
Adú,6.8,"4,984",N/A
Advantageous,6.1,"5,569",86%
Agneepath,6.9,"24,775",92%
Ajeeb Daastaans,6.7,"5,846",100%
Alexandria ... Why?,7.2,"1,804",N/A
Ali's Wedding,6.9,"5,079",92%
Always Shine,5.7,"4,774",90%
American Factory,7.4,"22,048",95%
American Gangster,7.8,"426,523",80%
American Girl,5.9,"1,427",N/A
Amour,7.9,"100,780",93%
And Breathe Normally,6.9,"3,130",93%
Andhadhun,8.2,"92,850",100%
Ankhon Dekhi,7.9,"11,698",N/A
Anna,6.6,"82,258",33%
Anonymous Venetian,6.8,756,N/A
Arianna,6.3,613,N/A
Article 15,8.1,"33,725",90%
As Good as It Gets,7.7,"298,253",85%
Athlete A,7.6,"11,164",100%
Atlantics,6.7,"9,549",96%
Aziza,7.2,147,N/A
